pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
29,8,classic_dlx_m,2,1/2/2015,14:10:00,16.00,32.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
30,17,five_cheese_l,2,1/3/2015,15:55:00,18.50,37.00,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
31,15,hawaiian_m,2,1/8/2015,15:07:00,13.25,26.50,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
32,10,pepperoni_xl,1,1/6/2015,13:50:00,20.00,20.00,XL,Classic,"Pepperoni, Mozzarella Cheese",The XL Pepperoni Pizza
33,4,classic_dlx_m,3,1/11/2015,20:26:00,16.00,48.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
34,9,veggie_m,4,1/3/2015,20:02:00,12.00,48.00,M,Veggie,"Tomatoes, Green Peppers, Onions, Olives, Mushrooms",The Veggie Pizza
35,7,margherita_s,2,1/1/2015,16:40:00,10.50,21.00,S,Veggie,"Tomato, Basil, Mozzarella Cheese",The Margherita Pizza
36,5,classic_dlx_m,4,1/11/2015,12:30:00,16.00,64.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
37,6,bbq_chicken_l,2,1/9/2015,15:09:00,17.75,35.50,L,Classic,"Chicken, BBQ Sauce, Red Onions, Cilantro",The BBQ Chicken Pizza
38,19,bbq_chicken_l,3,1/3/2015,16:57:00,17.75,53.25,L,Classic,"Chicken, BBQ Sauce, Red Onions, Cilantro",The BBQ Chicken Pizza
39,7,hawaiian_m,4,1/10/2015,13:20:00,13.25,53.00,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
40,2,five_cheese_l,3,1/8/2015,16:33:00,18.50,55.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
41,5,classic_dlx_m,4,1/4/2015,18:27:00,16.00,64.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
42,2,bbq_chicken_l,3,1/10/2015,19:40:00,17.75,53.25,L,Classic,"Chicken, BBQ Sauce, Red Onions, Cilantro",The BBQ Chicken Pizza
43,8,five_cheese_l,1,1/10/2015,17:27:00,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
44,16,five_cheese_l,1,1/5/2015,18:47:00,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
45,12,margherita_s,4,1/10/2015,16:30:00,10.50,42.00,S,Veggie,"Tomato, Basil, Mozzarella Cheese",The Margherita Pizza
46,1,bbq_chicken_l,3,1/10/2015,20:29:00,17.75,53.25,L,Classic,"Chicken, BBQ Sauce, Red Onions, Cilantro",The BBQ Chicken Pizza
47,20,hawaiian_m,2,1/4/2015,16:34:00,13.25,26.50,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
48,20,margherita_s,3,1/6/2015,11:36:00,10.50,31.50,S,Veggie,"Tomato, Basil, Mozzarella Cheese",The Margherita Pizza
49,15,classic_dlx_m,2,1/8/2015,18:34:00,16.00,32.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
50,14,classic_dlx_m,4,1/10/2015,18:38:00,16.00,64.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
